,UT,abstract,authors,citations,cities,countries,doi,location,population,tags,title,year
0,WOS:000378469900006,"A global multiregional input output (MRIO) model was built for eight Chinese cities to track their carbon flows. For in-depth understanding of urban carbon footprint from the perspectives of production, consumption, and trade balance, four kinds of footprints and four redefined measurement indicators were calculated. From the global supply chain, urban carbon inflows from Mainland China were larger than outflows, while the carbon outflows to European, principal North American countries and East Asia were much larger than inflows. With the rapid urbanization of China, Construction was the largest consumer and Utilities was the largest producer. Cities with higher consumption (such as Dalian, Tianjin, Shanghai, and Beijing) should change their consumption patterns, while cities with lower production efficiency (such as Dalian, Shanghai, Ningbo, and Chongqing) should improve their technology. The cities of net carbon consumption tended to transfer carbon emissions out of them by trading in carbon-intensive products, while the cities of net carbon production tended to produce carbon-intensive products for nonlocal consumers. Our results indicated that urban carbon abatement requires not only rational consumption and industrial symbiosis at the city level, but also tighter collaboration along all stages of the global supply chain.","Hu, YC, Lin, JY, Cui, SH, Khanna, NZ",,Beijing; Ningbo; Tianjin; Shanghai; Dalian; Chongqing,CHN; CHN; CHN; CHN; CHN; CHN,10.1021/acs.est.6b00985,SRID=4326;POINT (116.39723 39.9075); SRID=4326;POINT (121.54945 29.87819); SRID=4326;POINT (117.17667 39.14222); SRID=4326;POINT (121.45806 31.22222); SRID=4326;POINT (121.60222 38.91222); SRID=4326;POINT (106.55278 29.56278),11716620; 3491597; 11090314; 22315474; 4087733; 7457600,has_abstract; all,Measuring Urban Carbon Footprint from Carbon Flows in the Global Supply Chain,2016.0
1,2-s2.0-84930469518,"This book can be seen as the third part of an unofficial trilogy on Sustainable Cities of the Future with the author's previous books 'Sustainable Development, Energy and the City' and 'Sustainable Cities for the third millennium: The Odyssey of urban excellence', both prefaced by Prof. Sir Peter Hall. All three books follow the evolving forefront of innovations towards Sustainable Cities. They collectively try to respond to the questions: What future cities wish to build (with their scarcities and capacities) on a finite planet? What do-they do to achieve this? How do-they contribute to redesign the world? The third book adopts, first and foremost, a strategic foresight approach including a scan of the future trends, tensions and risks in a more uncertain world, the possible and preferable futures, emerging policy issues, such as intergenerational cities or cities welcoming the immigrants and their impact on sustainable development, the Rio+20 prospects and the effects of the protracted crisis, efforts by world interconnected cities, including a case-study on Bangkok, a laboratory of urban change, and examples of frugal and resilient urban policies. © 2013 Springer Science+Business Media New York. All rights are reserved.","Mega, V.",,Bangkok,THA,10.1007/978-1-4614-7348-0,SRID=4326;POINT (100.50144 13.75398),5104476,has_abstract; all,"Quintessential Cities, Accountable to the Future: Sustainability, Innovation and Citizenship",2013.0
2,WOS:000383371000002,"Cities are thought to be associated with most of humanity's consumption of natural resources and impacts on the environment. Cities not only constitute major centers of economic activity, knowledge, innovation, and governancethey are also said to be linked to approximately 70% to 80% of global carbon dioxide emissions. This makes cities primary agents of change in a resource- and carbon-constraint world. In order to set meaningful targets, design successful policies, and implement effective mitigation strategies, it is important that greenhouse gas (GHG) emissions accounting for cities is accurate, comparable, comprehensive, and complete. Despite recent developments in the standardization of city GHG accounting, there is still a lack of consistent guidelines regarding out-of-boundary emissions, thus hampering efforts to identify mitigation priorities and responsibilities. We introduce a new conceptual frameworkbased on environmental input-output analysisthat allows for a consistent and complete reconciliation of direct and indirect GHG emissions from a city. The city carbon map shows local, regional, national, and global origins and destinations of flows of embodied emissions. We test the carbon map concept by applying it to the greater metropolitan area of Melbourne, Australia. We discuss the results and limitations of the approach in the light of possible mitigation strategies and policies by different urban stakeholders.","Wiedmann, TO, Chen, GW, Barrett, J",,Melbourne,AUS,10.1111/jiec.12346,SRID=4326;POINT (144.96332 -37.814),4246375,has_abstract; all,"The Concept of City Carbon Maps: A Case Study of Melbourne, Australia",2016.0
3,2-s2.0-85016769031,"Cities have experienced an unprecedented rate of growth in the last decade. More than half the world's population lives in urban areas, with the U.S. percentage at 80 percent. Cities have captured more than 80 percent of the globe's economic activity and offered social mobility and economic prosperity to millions by clustering creative, innovative, and educated individuals and organizations. Clustering populations, however, can compound both positive and negative conditions, with many modern urban areas experiencing growing inequality, debility, and environmental degradation. The spread and continued growth of urban areas presents a number of concerns for a sustainable future, particularly if cities cannot adequately address the rise of poverty, hunger, resource consumption, and biodiversity loss in their borders. Intended as a comparative illustration of the types of urban sustainability pathways and subsequent lessons learned existing in urban areas, this study examines specific examples that cut across geographies and scales and that feature a range of urban sustainability challenges and opportunities for collaborative learning across metropolitan regions. It focuses on nine cities across the United States and Canada (Los Angeles, CA, New York City, NY, Philadelphia, PA, Pittsburgh, PA, Grand Rapids, MI, Flint, MI, Cedar Rapids, IA, Chattanooga, TN, and Vancouver, Canada), chosen to represent a variety of metropolitan regions, with consideration given to city size, proximity to coastal and other waterways, susceptibility to hazards, primary industry, and several other factors. © 2016 by the National Academy of Sciences. All rights reserved.",,,Philadelphia; Chattanooga; Flint; Grand Rapids; New York City; Pittsburgh; Los Angeles; Vancouver,USA; USA; USA; USA; USA; USA; USA; CAN,10.17226/23551,SRID=4326;POINT (-75.16379000000001 39.95233); SRID=4326;POINT (-85.30968 35.04563); SRID=4326;POINT (-83.68746 43.01253); SRID=4326;POINT (-85.66809000000001 42.96336); SRID=4326;POINT (-74.00597 40.71427); SRID=4326;POINT (-79.99589 40.44062); SRID=4326;POINT (-118.24368 34.05223); SRID=4326;POINT (-123.11934 49.24966),1567442; 176588; 98310; 195097; 8175133; 304391; 3971883; 600000,has_abstract; all,Pathways to urban sustainability: challenges and opportunities for the United States,2016.0
4,WOS:000353744500008,"Energy-related greenhouse gas emission is emerging as a major concern to be addressed. The structure of the urban economy, as the center of energy consumption, has therefore arrested widespread attention on the globe. By employing input-output model as a dynamic approach to simulate urban metabolism processes, structure decomposition analysis is undertaken as a unified framework to clarify the underlying reasons behind increment of GHG emission in Beijing with the latest data. The eight components classified into three categories of changes, i.e., intensity structure, production linkage, and final demand are investigated from the perspectives of comparative contribution and hierarchical structure, identifying the crucial components for total changes and the characteristics within each category at the aggregated and sectoral levels. The asymmetries of contribution across the components and the essential implications for policy makers are presented. (C) 2014 Elsevier B.V. All rights reserved.","Xia, XH, Hu, Y, Alsaedi, A, Hayat, T, Wu, XD, Chen, GQ",,Beijing,CHN,10.1016/j.ecoinf.2014.09.008,SRID=4326;POINT (116.39723 39.9075),11716620,has_abstract; all,Structure decomposition analysis for energy-related GHG emission in Beijing: Urban metabolism and hierarchical structure,2015.0
5,WOS:000246782200007,"The way urbanization unfolds over the next few decades in the developing countries of Asia will have profound implications for sustainability. One of the more important opportunities is to guide urbanization along pathways that begin to uncouple these gains in well-being from rising levels of energy use. Increasing energy use for transport, construction, climate control in houses and offices, and industrial processes is often accompanied by increasing levels of atmospheric emissions that impact human health, ecosystem functions, and the climate system. Agriculture, forestry, and animal husbandry alter carbon stocks and fluxes as carbon dioxide, methane, and black carbon. In this article we explore how carbon management could be integrated into the development strategies of cities and urbanizing regions. In particular, we explore how changes in urban form, functions, and roles might alter the timing, aggregation, spatial distribution, and composition of carbon emissions. Our emphasis is on identifying system linkages and points of leverage. The study draws primarily on emission inventories and regional development histories carried out in the regions around the cities of Manila, Jakarta, Ho Chi Minh City, New Delhi, and Chiang Mai. We find that how urban functions, such as mobility, shelter, and food, are provided has major implications for carbon emissions, and that each function is influenced by urban form and role in distinct ways. Our case studies highlight the need for major ""U-turns"" in urban policy.","Lebel, L, Garden, P, Banaticla, MRN, Lasco, RD, Contreras, A, Mitra, AP, Sharma, C, Nguyen, HT, Ooi, GL, Sari, A",,Chiang Mai; New Delhi; Ho Chi Minh City; Jakarta; Manila,THA; IND; VNM; IDN; PHL,10.1162/jie.2007.1185,SRID=4326;POINT (98.98468 18.79038); SRID=4326;POINT (77.22445 28.63576); SRID=4326;POINT (106.62965 10.82302); SRID=4326;POINT (106.84513 -6.21462); SRID=4326;POINT (120.9822 14.6042),200952; 317797; 3467331; 8540121; 1600000,has_abstract; all,"Integrating carbon management into the development strategies of urbanizing regions in Asia - Implications of urban function, form, and role",2007.0
6,WOS:000413546200001,"The SusKat-ABC (Sustainable Atmosphere for the Kathmandu Valley-Atmospheric Brown Clouds) international air pollution measurement campaign was carried out from December 2012 to June 2013 in the Kathmandu Valley and surrounding regions in Nepal. The Kathmandu Valley is a bowl-shaped basin with a severe air pollution problem. This paper reports measurements of two major greenhouse gases (GHGs), methane (CH4) and carbon dioxide (CO2), along with the pollutant CO, that began during the campaign and were extended for 1 year at the SusKat-ABC supersite in Bode, a semi-urban location in the Kathmandu Valley. Simultaneous measurements were also made during 2015 in Bode and a nearby rural site (Chanban) similar to 25 km (aerial distance) to the southwest of Bode on the other side of a tall ridge. The ambient mixing ratios of methane (CH4), carbon dioxide (CO2), water vapor, and carbon monoxide (CO) were measured with a cavity ring-down spectrometer (G2401; Picarro, USA) along with meteorological parameters for 1 year (March 2013-March 2014). These measurements are the first of their kind in the central Himalayan foothills. At Bode, the annual average mixing ratios of CO2 and CH4 were 419.3 (+/- 6.0) ppm and 2.192 (+/- 0.066) ppm, respectively. These values are higher than the levels observed at background sites such as Mauna Loa, USA (CO2: 396.8 +/- 2.0 ppm, CH4: 1.831 +/- 0.110 ppm) and Waliguan, China (CO2: 397.7 +/- 3.6 ppm, CH4: 1.879 +/- 0.009 ppm) during the same period and at other urban and semi-urban sites in the region, such as Ahmedabad and Shadnagar (India). They varied slightly across the seasons at Bode, with seasonal average CH4 mixing ratios of 2.157 (+/- 0.230) ppm in the pre-monsoon season, 2.199 (+/- 0.241) ppm in the monsoon, 2.210 (+/- 0.200) ppm in the post-monsoon, and 2.214 (+/- 0.209) ppm in the winter season. The average CO2 mixing ratios were 426.2 (+/- 25.5) ppm in the pre-monsoon, 413.5 (+/- 24.2) ppm in the monsoon, 417.3 (+/- 23.1) ppm in the postmonsoon, and 421.9 (+/- 20.3) ppm in the winter season. The maximum seasonal mean mixing ratio of CH4 in winter was only 0.057 ppm or 2.6% higher than the seasonal minimum during the pre-monsoon period, while CO2 was 12.8 ppm or 3.1% higher during the pre-monsoon period (seasonal maximum) than during the monsoon (seasonal minimum). On the other hand, the CO mixing ratio at Bode was 191% higher during the winter than during the monsoon season. The enhancement in CO2 mixing ratios during the pre-monsoon season is associated with additional CO2 emissions from forest fires and agro-residue burning in northern South Asia in addition to local emissions in the Kathmandu Valley. Published CO = CO2 ratios of different emission sources in Nepal and India were compared with the observed CO = CO2 ratios in this study. This comparison suggested that the major sources in the Kathmandu Valley were residential cooking and vehicle exhaust in all seasons except winter. In winter, brick kiln emissions were a major source. Simultaneous measurements in Bode and Chanban (15 July-3 October 2015) revealed that the mixing ratios of CO2, CH4, and CO were 3.8, 12, and 64% higher in Bode than Chanban. The Kathmandu Valley thus has significant emissions from local sources, which can also be attributed to its bowl-shaped geography that is conducive to pollution build-up. At Bode, all three gas species (CO2, CH4, and CO) showed strong diurnal patterns in their mixing ratios with a pronounced morning peak (ca. 08:00), a dip in the afternoon, and a gradual increase again through the night until the next morning. CH4 and CO at Chanban, however, did not show any noticeable diurnal variations. These measurements provide the first insights into the diurnal and seasonal variation in key greenhouse gases and air pollutants and their local and regional sources, which is important information for atmospheric research in the region.",,,Ahmedabad,IND,10.5194/acp-17-12573-2017,SRID=4326;POINT (72.58727 23.02579),3719710,has_abstract; all,Seasonal and diurnal variations in methane and carbon dioxide in the Kathmandu Valley in the foothills of the central Himalayas,2017.0
7,WOS:000435587100117,"Systemic sustainability transitions are manifested as the needed scope to meet sustainability challenges at the local and global scales. While sustainability transitions are ubiquitous, each transition is nested in a specific spatial context. Especially, due to accelerating urbanization, cities are increasingly important agents, but they are also understudied geographical loci of change. Urban transitions are interesting because they operate at both the national and global scales, concentrating people, wealth, and resources. They have both regime and niche elements, as they act as an incubation space for novel experiments, ideas, and alternative social movements. Thus, this paper aims to improve understanding of the geographical context and spatial scales from a multilevel perspective and develop a framework for analytic comparison. Furthermore, the paper draws insights from two empirical cases, namely the cities of Helsinki and Istanbul. Consequently, opportunities and challenges for instigating context-specific sustainability transitions can be identified.",,,Helsinki,FIN,10.3390/su10051421,SRID=4326;POINT (24.93545 60.16952),558457,has_abstract; all,Cities in Sustainability Transitions: Comparing Helsinki and Istanbul,2018.0
8,puey2,"Urban sustainability is one of the most prominent challenges in the global agenda waiting to be addressed since the Earth Summit in Rio de Janeiro. This research work applies a composite indicator that has been developed as the Sustainable Development of Energy, Water and Environment Systems Index to benchmark the performance of a new sample of 26 world cities. The sample advances the geographical diversity of previous samples and represents cities in the Global Covenant of Mayors for Climate and Energy as well as the C40 initiative. The benchmarking results are analysed based on quartiles of city performance and Monte Carlo simulations. The results indicate the top three cities in the sample to be Copenhagen, which obtains a score of 36.038, followed by Helsinki and Gothenburg. The top cities represent multiple best practices including those in district energy networks, water quality, and environmental management. A normative scenario up to the year 2050 is then applied to one of the cities in the sample, namely Rio de Janeiro. The normative scenario involves targets that take place in local plans, particularly Vision Rio 500. The benchmarking results for the new sample of 26 world cities and the normative scenario not only identifies the benchmark leaders but also underlines opportunities to pursue pathways in which higher levels of performance can be reached by cities that may face multiple challenges. The results of the research work holds significance for advancing the application of an original composite indicator to benchmark cities towards supporting the aim of decoupling economic growth from environmental pressures in more sustainable urban systems towards carbon neutrality.",,,Helsinki; Copenhagen,FIN; DNK,,SRID=4326;POINT (24.93545 60.16952); SRID=4326;POINT (12.56553 55.67594),558457; 1153615,has_abstract; all,"Application of the Sustainable Development of Energy, Water and Environment Systems Index to World Cities with a Normative Scenario for Rio de Janeiro",2018.0
9,r8fkm,"Tools that can benchmark cities, including cities in South East Europe, are necessary to enable the comparison and diffusion of more sustainable practices for urban systems. The “Sustainable Development of Energy, Water and Environment Systems Index” provides a composite indicator for benchmarking city performance based on 7 dimensions and 35 main indicators. In this research work, the Index is applied to a new sample of 18 cities in South East Europe for which data is collected, normalized, and aggregated. Klagenfurt (3.08), Velenje (3.06) and Pécs (3.01) are found to be the top three cities in the sample while an average city receives an index score of 2.85. The results are further compared to reference averages and evaluated based on the mean simulated values of 10,000 Monte Carlo experiments. The results are interpreted in quartiles for pioneering, transitioning, solution-seeking, and challenged cities. The results are then applied within a benchmarking tool of the Index that supports policy learning to trigger collaboration between cities and further used to match cities according to a search algorithm based on index performance. In addition, the results are compared to urban hierarchy as well as development contexts and mapped onto the spatial dimension as an initial step for enabling a “Sustainable Development of Energy, Water and Environment Systems Future City Network”. The paper concludes with a set of four proposed steps to enable decision-makers and urban planners in using the Sustainable Development of Energy, Water and Environment Systems Index in support of more sustainable urban systems.",,,Pécs; Velenje,HUN; SVN,,SRID=4326;POINT (18.23333 46.08333); SRID=4326;POINT (15.11028 46.35917),156649; 25456,has_abstract; all,"Benchmarking South East European Cities with the Sustainable Development of Energy, Water and Environment Systems Index",2018.0
