,UT,abstract,authors,citations,cities,countries,doi,location,population,title,year
0,WOS:000315491400033,"Constructed wetlands (CWs) are widely used for wastewater treatment, but may also be sources of greenhouse gas (GHG). This study focuses on comparing the GHG emissions from a vertical flow constructed wetland (VFCW) and a horizontal flow constructed wetland (HFCW) in the city of Tianjin, China. Two methods are used in this paper to estimate the indirect and direct GHG emissions. It is found that the VFCW emits 0.09, 1.34, and 3.31 kg equivalent CO2 (CO2 Eq.) to remove 1.00 m(3) wastewater, 1.00 kg COD, and 1.00 kg BOD in the studied life cycle, respectively, in contrast to 0.18, 2.10, and 5.42 kg CO2 Eq. for the HFCW. The results indicate that the adoption of VFCW is a more effective option with respect to GHG emissions when treating the same amount of pollutants. In addition, the operation phase which includes GHG emissions from water treatment process and energy consumption for pump dominates the GHG emissions. For different kinds of GHG from CWs, CO2 dominates the influence on climate change. The CH4 and N2O emissions should also deserve more attention due to their greater global warming potential. This paper further suggests that GHG emissions can be mitigated in the design, construction, and operation stages through some feasible measures. It would reduce GHG emissions in CWs by adopting hybrid CW system (e.g. HF-VF or VF-HF) or choosing suitable plant species which can mitigate GHG emissions. In addition, aeration could contribute to the control of GHG emissions from CWs.","Zhao, XH, Liu, L",3,Tianjin,CHN,10.1080/19443994.2012.734679,SRID=4326;POINT (117.17667 39.14222),11090314,"A comparative estimate of life cycle greenhouse gas emissions from two types of constructed wetlands in Tianjin, China",2013
1,WOS:000350525300007,"This study attempts to present an urban road transportation strategy focusing on the mitigation of both GHGs emission and public health damage, taking Xiamen City as a case study. We developed a Public Health and GHGs Emission model to estimate the impacts of direct energy-consumption-related GHGs emissions and public health damage in Xiamen's road transportation strategies from 2008 to 2025, considering the environmental benefits and economic costs. Two scenarios were designed to describe future transportation strategies for Xiamen City, and mitigation potentials for both GHGs emission and public health costs were estimated from 2008 to 2025 under a series of options. The results show that enacting controls on private vehicles would be most effective to GHGs mitigation, while enacting controls on government and rental vehicles would contribute the most to NO2 and PM2.5 reductions. Compared with the Business as Usual scenario, the Integrated scenario would achieve about a 68% energy consumption reduction and save 0.23 billion yuan (95% CI: 0.16, 0.32) in health costs in 2025. It is clear that integrated and advisable strategies need to mitigate the adverse impacts of urban road vehicles on GHGs emissions and public health and economic costs, particularly in regions of rapid urbanization. (C) 2014 Elsevier Ltd. All rights reserved.","Xue, XZ, Ren, Y, Cui, SH, Lin, JY, Huang, W, Zhou, J",3,Xiamen,CHN,10.1016/j.trd.2014.11.011,SRID=4326;POINT (118.08187 24.47979),3531347,Integrated analysis of GHGs and public health damage mitigation for developing urban road transportation strategies,2015
2,WOS:000422882500003,"Roofs are important components of buildings and can be designed and/or retrofitted with photovoltaic (PV) and green-roof (GR) systems to produce energy and to improve stormwater management. Traditionally, GRs and PVs have been viewed as direct competitors vying for the same roof space. However, with correct design, synergy effects arise when combining both technologies (GR-PV). In this paper, a probabilistic analysis is performed to examine the potential energy and carbon emissions of GR, PV, and GR-PV systems. The analysis demonstrates that a GR-PV system is a low-risk investment generating lower energy and carbon-emission payback time in comparison with separate GR and PV systems. Furthermore, the average of net energy of this technology is 7.3 and 1.3 times higher than separate GR and PV systems, respectively. In addition, the installation of GR-PV systems throughout the City of Toronto could supply 16% of the electricity by PVs and reduce 12% of energy demand (i.e., heating and cooling) by GRs. However, extensive modification of the electrical grid would be needed for efficient collection and transmission of PV-generated power. (c) 2017 American Society of Civil Engineers.",,0,Toronto,CAN,10.1061/(ASCE)IS.1943-555X.0000399,SRID=4326;POINT (-79.41630000000001 43.70011),2600000,Energy and Carbon-Emission Analysis of Integrated Green-Roof Photovoltaic Systems: Probabilistic Approach,2018
3,WOS:000379270900033,"There is consensus among researchers and policy makers that households are major consumers of energy, which results in serious environmental and financial costs. However, low-income households in particular, are often energy insecure and spend a substantial proportion of their income on energy expenditure. Therefore, promoting household energy conservation is considered one of the key pathways to achieving sustainability, in both environmental and financial terms. This study examines the effectiveness of intervention strategies designed to promote energy conservation using data gathered among low-income households in Grahamstown, South Africa. A total of 103 households participated in the experimental study. Energy conservation strategies including print media, interactive face-to-face discussions and feedback were variably applied to different households. The results show that the interventions were more effective in promoting energy conservation when applied conjointly rather than separately. These results suggest that promoting pro-environmental behaviour even among low-income households is a possibility. Further, household energy reduction had significant relationships with participants' self-reported actions and personal values, but not with demographic characteristics. This study provides useful insights into the complex interplay of personal and situational factors that shape household energy consumption. The study underscores the important role that household-driven programmes could play in promoting sustainable energy use, with support from local (municipal) government. (C) 2016 Elsevier Ltd. All rights reserved.","Thondhlana, G, Kua, HW",2,Grahamstown,ZAF,10.1016/j.jclepro.2016.05.026,SRID=4326;POINT (26.53276 -33.30422),91548,"Promoting household energy conservation in low-income households through tailored interventions in Grahamstown, South Africa",2016
4,WOS:000218702800018,"Energy policies to mitigate and adapt to climate change need public support to be successful. Deliberative democracy forums serve to both better inform the public of the available options and provide a way for policymakers to assess support for proposed policies. This work uses a pilot study in Pittsburgh to generate hypotheses regarding how a deliberative democracy process affects residents' perceptions of and support for City-wide energy policies to address climate change. A convenience sample completed pre and post-surveys during a deliberative forum: ""Building a Resilient Pittsburgh: Climate Challenges and Opportunities"". The surveys focused on knowledge, perceptions, and opinions related to the existence of climate change as well as energy policies to mitigate and adapt to climate change. Results suggest that the forum was useful in shifting perceptions, but did not significantly influence objective knowledge or policy support. Participants had a slight preference for energy efficiency strategies over renewable energy and public information. More research is needed to evaluate deliberative democracy approaches and expand these findings to a more diverse population. (C) 2015 Elsevier Ltd. All rights reserved.",,2,Pittsburgh,USA,10.1016/j.erss.2015.05.008,SRID=4326;POINT (-79.99589 40.44062),304391,Using deliberative democracy to identify energy policy priorities in the United States,2015
5,WOS:000395488900047,"Due to the increasingly serious energy crisis and environmental pollution problem, traditional fossil energy is gradually being replaced by renewable energy in recent years. However, the introduction of renewable energy into power systems will lead to large voltage fluctuations and high capital costs. To solve these problems, an energy storage system (ESS) is employed into a power system to reduce total costs and greenhouse gas emissions. Hence, this paper proposes a two-stage method based on a back-propagation neural network (BPNN) and hybrid multi-objective particle swarm optimization (HMOPSO) to determine the optimal placements and sizes of ESSs in a transmission system. Owing to the uncertainties of renewable energy, a BPNN is utilized to forecast the outputs of the wind power and load demand based on historic data in the city of Madison, USA. Furthermore, power-voltage (P-V) sensitivity analysis is conducted in this paper to improve the converge speed of the proposed algorithm, and continuous wind distribution is discretized by a three-point estimation method. The Institute of Electrical and Electronic Engineers (IEEE) 30-bus system is adopted to perform case studies. The simulation results of each case clearly demonstrate the necessity for optimal storage allocation and the efficiency of the proposed method.",,1,Madison,USA,10.3390/app7020155,SRID=4326;POINT (-89.40123 43.07305),248951,Electrical Energy Forecasting and Optimal Allocation of ESS in a Hybrid Wind-Diesel Power System,2017
6,WOS:000329377800159,"Designing a future smart city (FSC) that copes with the reduction of CO2 has become one of the urgent tasks of the next 20 years. One promising approach to achieve FSC is to combine appropriate land use (compact city with energy efficient buildings and photovoltaic panels (PVs)), transportation (electric vehicles (EVs) and public transportation system) and energy systems (smart grid systems), because of the interaction between these elements. However, there are few models which simulate these elements in an integrated manner. This paper presents the concept of the integrated model, and shows the land use-energy part of the model created for the Tokyo metropolitan area, which is the largest Mega city in the world. Firstly, a spatially explicit land use model (urban economic model) is constructed for the study area, and the model is calibrated using existing statistical data. Secondly, possible future compact/dispersion city scenarios for the year 2050 are created using the model. Thirdly, intra-day dynamics (hourly) of electricity demand and supply from PVs, which is assumed to be installed to the roofs of all detached houses in the study area, under two urban scenarios is simulated. The obtained results suggest that [1] ""compact"" urban form may contribute to the reduction of electricity demand from the residential sector, but [2] PV-supply under the scenario may also be reduced because of the decreased share of detached houses. Hence in the compact city scenario, it is important to discuss the effective use of vacant areas in suburbs, which may be used for large PV installations, or be re-vegetated to mitigate urban heat island effects. (C) 2013 Elsevier Ltd. All rights reserved.",,45,Tokyo,JPN,10.1016/j.apenergy.2013.01.061,SRID=4326;POINT (139.69171 35.6895),8336599,Simulating a future smart city: An integrated land use-energy model,2013
7,WOS:000253369200013,"""Distributed local energy systems"" had been expected to rationalize the supply of energy to built-up areas, but until now very little research has been performed to estimate the effect of their application to actual cities. In this research, therefore, a future vision for the year 2030 in the Sancha Area (SANCHA VISION 2030), a typical densely built-up area in Tokyo, has been elaborated including a simulation to estimate benefits from the application of distributed energy systems in terms of reduced energy consumption and CO, emissions as well as mitigation of the heat-island phenomenon. As a result, it was demonstrated that a ""distributed local energy system"", which provides a district with both electrical power and heat through an integrated distribution system, may contribute to a considerable improvement in energy efficiency for those areas. In addition, it may also provide other benefits, including enhancement of living amenity and urban security in times of emergency. (C) 2007 Elsevier B.V. All rights reserved.","Chen, H, Ooka, R, Iwamura, K, Huang, H, Yoshizawa, N, Miisho, K, Yoshida, S, Namatame, S, Sakakura, A, Tanaka, S",7,Tokyo,JPN,10.1016/j.enbuild.2007.05.012,SRID=4326;POINT (139.69171 35.6895),8336599,Study on sustainable redevelopment of a densely built-up area in Tokyo by introducing a distributed local energy supply system,2008
8,WOS:000345574500009,"Faced with the challenge of developing sustainable cities, the Chinese government sets green construction as part of the national strategy to reduce energy consumption. However, the consumer market has shown limited response to such policies. To upscale green building, it is crucial to understand the market demands for green apartments. This article employs a conjoint model to estimate the willingness to pay for green dwellings versus accessibility to metros and jobs and neighbourhood quality by different socio-economic groups in Nanjing, China. Results show that the socio-economic status of homebuyers determines their willingness to pay for green attributes. Only the rich are prepared to pay for green apartments to improve their living comfort. To all, the notion of health is appealing as consumers are willing to pay for an unpolluted environment and for non-toxic construction materials used in buildings in good locations.","Hu, H, Geertman, S, Hooimeijer, P",9,Nanjing,CHN,10.1177/0042098013516686,SRID=4326;POINT (118.77778 32.06167),7165292,"The willingness to pay for green apartments: The case of Nanjing, China",2014
9,WOS:000395714000006,"This study demonstrates the trade-offs between vehicle energy consumption and on-site solar energy potential in a city landscape. While higher urban density may curb many of the problems associated with sprawl mainly by reducing vehicle travels and associated energy use, it can also limit on-site rooftop solar energy utilization due to more shade on rooftops in dense urban settings and less available rooftop area per person. Using travel survey, Geographic Information System (GIS) and Light Detection and Ranging (LiDAR) data, we estimated vehicle energy use and rooftop solar potential in the City of San Francisco as a case study and calculated possible offsetting effects between vehicle energy consumption and rooftop solar potential. Given the prevalence of gasoline-based vehicles and today's solar photovoltaic (PV) panel efficiency, vehicle energy use per capita appears to exceed energy generated by rooftop solar PVs per capita across all density ranges, especially in lower density environments. At the point when electric cars and advanced, highly efficient solar PV panels penetrate the market, the results change based on the combination of different technological options. A significant reduction of energy consumption can be achieved through the immediate and rapid spread of energy efficient technologies in vehicles and solar PVs along with the long-term effect from gradual urban densification.","Ko, YK, Jang, KT, Radke, JD",0,San Francisco,USA,10.1080/15568318.2016.1274807,SRID=4326;POINT (-122.41942 37.77493),864816,"Toward a solar city: Trade-offs between on-site solar energy potential and vehicle energy consumption in San Francisco, California",2017
