Topic ID,Topic Name,Stemmed Keywords,Marginal Topic Distribution;;;;
123476,,energi; consumpt; effici; renew; demand,4.892886347571687
123503,,system; model; optim; oper; propos,4.50214821518381
123478,,emiss; per; capita; reduct; factor,4.405002484309939
123505,,govern; local; polici; polit; actor,4.376781727444374
123477,,climat; chang; mitig; global; action,4.322420021060011
123483,,urban; sustain; area; develop; form,4.2218209450926425
123499,,citi; lowcarbon; develop; smart; chines,3.876848024431119
123493,,carbon; low; footprint; dioxid; intens,3.5484983466859426
123480,,temperatur; cool; thermal; degre; surfac,3.486656835461271
123484,,build; residenti; construct; design; stock,3.4214410058631817
123500,,china; growth; econom; region; intens,3.4127410899488035
123506,,electr; power; generat; plant; wind,3.1583094823825943
123498,,plan; develop; municip; communiti; local,3.1548517074877482
123479,,wast; landfil; solid; msw; manag,3.1389733211284
123490,,fuel; biomass; gas; hydrogen; fossil,3.0982890926630566
123492,,transport; polici; sector; road; scenario,2.9569731493325557
123487,,wastewat; treatment; sludg; remov; process,2.9359116107146868
123491,,air; pollut; qualiti; concentr; ozon,2.881711870539292
123495,,land; use; region; ecosystem; area,2.8460513901029993
123502,,ghg; emiss; gas; greenhous; msw,2.6878260497878506
123504,,industri; structur; symbiosi; cement; park,2.680811198540194
123489,,travel; transit; trip; car; mode,2.672585503549327
123507,,food; product; agricultur; bioga; crop,2.663210180514688
123488,,household; incom; residenti; rural; consumpt,2.538242966847143
123501,,adapt; vulner; risk; flood; resili,2.507676291617006
123494,,health; public; mortal; risk; diseas,2.504372328253117
123481,,water; suppli; demand; manag; resourc,2.4833086319106874
123485,,heat; district; pump; system; demand,2.469863112063981
123482,,vehicl; drive; batteri; fleet; ev,2.428640893592158
123497,,tree; forest; speci; plant; ecosystem,1.9951991145253576
123496,,solar; radiat; renew; photovolta; rooftop,1.9334843257335148
123486,,roof; green; cool; benefit; insul,1.7964627356606298
